culture,snippet,type,translation,status_signal,notes
Black Professional,What chapter of Jack and Jill?,question,He's asking which specific Jack and Jill chapter,Specific chapter signals geographic and class community,Specific class probe
Black Professional,Are you in the Links?,question,Asked of women — he's checking invitation-only Black women's service organization,Major top-tier Black professional women's signal,Specific elite probe
Black Professional,Is your husband in the Boulé?,question,Asked of married women — checking invitation-only top Black professional men's fraternity,Major top-tier Black professional men's signal,Specific elite probe
Black Professional,Where do you summer?,question,He's asking whether you have a vacation home and where,Significant resources signal and specific tradition,Major class probe
Black Professional,Do y'all go to the Vineyard?,question,He's asking whether you go to Martha's Vineyard specifically Oak Bluffs Inkwell Beach area,Black professional vacation-tradition signal,Major class-and-tradition probe
Black Professional,Do you have a place up top?,question,Up top' means Martha's Vineyard — he's asking if you own property there,Owning at the Vineyard signals significant wealth and 'old' standing in Black professional circles,Major wealth-and-standing probe
Black Professional,Where did your parents go to school?,question,He's asking about multigenerational education,Multigenerational HBCU signals legacy; first-generation college signals upward mobility,Family-legacy probe
Black Professional,What does your father do?,question,He's asking your father's specific profession — class signal,Doctor lawyer judge professor business owner executive signal different things,Family-class probe
Black Professional,Where do your kids go to school?,question,He's asking about your children's education,Private school public magnet or HBCU pipeline signals class trajectory,Class-trajectory probe
Black Professional,Is your daughter doing debutante?,question,He's asking about participation in formal Black-elite social rituals,Debutante participation signals Black social-elite engagement,Specific class ritual probe
Black Professional,Howard University,lifestyle marker,Specific HBCU in DC — major Black elite institution,Signals DC elite often political-class trajectory,Major institutional identity
Black Professional,Spelman College,lifestyle marker,Specific HBCU — Black women's elite institution,Signals Black women's elite formation often professional-class,Major institutional identity
Black Professional,Morehouse College,lifestyle marker,Specific HBCU — Black male leadership tradition,Signals Black male leadership formation often professional-class,Major institutional identity
Black Professional,Hampton University,lifestyle marker,Specific HBCU — Virginia tidewater elite,Signals tradition and tidewater Black elite,Major institutional identity
Black Professional,FAMU / Florida A&M,lifestyle marker,Specific HBCU — Florida HBCU pride,Signals Florida HBCU formation and pride,Major institutional identity
Black Professional,AUC / Atlanta University Center,lifestyle marker,The Atlanta HBCU complex (Morehouse Spelman Clark Atlanta),Signals Atlanta Black-college-experience network,Specific institutional identity
Black Professional,Tuskegee,lifestyle marker,Specific HBCU with engineering and aviation legacy,Signals specific HBCU heritage,Specific institutional identity
Black Professional,Xavier (Louisiana),lifestyle marker,Specific HBCU — Catholic and medical-pipeline reputation,Signals specific HBCU heritage often pre-med,Specific institutional identity
Black Professional,AKA / Alpha Kappa Alpha,lifestyle marker,Oldest Black sorority — Divine Nine,Carries stereotype (which insiders use as shorthand though members contest it) of respectability tradition middle-class background and historically lighter skin,Specific Greek organization
Black Professional,Delta Sigma Theta,lifestyle marker,Divine Nine sorority known for activism orientation,Carries reputation for civil rights tradition and broader skin-tone diversity,Specific Greek organization
Black Professional,Zeta Phi Beta,lifestyle marker,Divine Nine sorority,Carries reputation as more accessible and less stereotyped as elite,Specific Greek organization
Black Professional,Sigma Gamma Rho,lifestyle marker,Divine Nine sorority,Carries reputation as more accessible less elitist reputation,Specific Greek organization
Black Professional,Alpha Phi Alpha,lifestyle marker,Oldest Black fraternity — Divine Nine,Signals leadership and political tradition; MLK was Alpha,Specific Greek organization
Black Professional,Kappa Alpha Psi / The Kappas,lifestyle marker,Divine Nine fraternity,Carries reputation for style and aesthetic culture,Specific Greek organization
Black Professional,Omega Psi Phi / The Ques,lifestyle marker,Divine Nine fraternity,Carries reputation for rougher masculinity tradition,Specific Greek organization
Black Professional,Phi Beta Sigma,lifestyle marker,Divine Nine fraternity,Carries reputation as more accessible less elite-coded,Specific Greek organization
Black Professional,Divine Nine,vocabulary,The collective name for the nine historic Black Greek-letter organizations,Standard in-group term for Black Greek life,Foundational vocabulary
Black Professional,My line,vocabulary,The group of people who pledged together,Specific Greek-life vocabulary,Family-network signal
Black Professional,My line sisters / line brothers,vocabulary,Lifetime sisters and brothers from pledge process,Major lifetime-network signal,Network terminology
Black Professional,Prophyte / neophyte,vocabulary,Members who pledged before you / after you,Specific Greek-life hierarchy vocabulary,Greek terminology
Black Professional,Crossed Spring 2010,phrase,He joined his fraternity or sorority specifically in Spring 2010,Specific cohort identifier,Standard Greek dating
Black Professional,The strolls,lifestyle marker,Specific Greek-life synchronized walking performances,Standard Greek-life tradition,Cultural-tradition marker
Black Professional,The calls,lifestyle marker,Specific Greek-life vocal signals,Standard Greek-life tradition,Cultural-tradition marker
Black Professional,Jack and Jill of America,lifestyle marker,Invitation-only Black children's social organization,Major Black professional class signal often multigenerational,Major class organization
Black Professional,The Boulé / Sigma Pi Phi,lifestyle marker,Invitation-only top Black professional fraternity,Top tier Black professional class often older established families,Highest-status Black professional org
Black Professional,The Links Incorporated,lifestyle marker,Invitation-only Black professional women's service organization,Top tier Black professional women,Highest-status Black women's org
Black Professional,Top Ladies of Distinction,lifestyle marker,Specific Black women's professional service organization,Specific elite-women's-org signal,Specific organization
Black Professional,Sigma Alpha Iota / specific music fraternities,lifestyle marker,Specific professional Greek organizations,Specific professional-network signal,Specific organizations
Black Professional,Martha's Vineyard,lifestyle marker,Historic Black professional summer destination,Major Black middle-to-upper-class multigenerational vacation tradition,Major class-vacation signal
Black Professional,Oak Bluffs,lifestyle marker,Specific Vineyard town with historic Black community,Specific Black Vineyard signal — heart of the community,Specific neighborhood
Black Professional,Inkwell Beach,lifestyle marker,Historic Black beach at Oak Bluffs Martha's Vineyard,Direct Black Vineyard tradition signal,Specific in-group location
Black Professional,Sag Harbor,lifestyle marker,Historic Black summer community on Long Island NY,Multigenerational Black summer presence signal,Specific historic Black resort
Black Professional,Highland Beach Maryland,lifestyle marker,Historic Black resort in Maryland,Multigenerational Black vacation tradition signal,Specific historic Black resort
Black Professional,Idlewild Michigan,lifestyle marker,Historic Black resort in Michigan,Multigenerational Black vacation tradition signal,Specific historic Black resort
Black Professional,American Beach Florida,lifestyle marker,Historic Black beach community in Florida,Multigenerational Black vacation tradition signal,Specific historic Black resort
Black Professional,The Polar Bears (Oak Bluffs morning swimmers),lifestyle marker,Specific Oak Bluffs morning swimming group,Insider Black Vineyard signal,Specific in-group reference
Black Professional,The cottage,lifestyle marker,Black professional family vacation property,Multigenerational vacation property signal,Specific class signal
Black Professional,The family cottage,lifestyle marker,Specifically inherited Black professional family vacation property,Major old-money Black professional signal,Specific in-group framing
Black Professional,Sidwell Friends,lifestyle marker,Quaker private school in DC — Obama daughters attended,Major coastal-elite signal for children,Specific elite school
Black Professional,Dalton,lifestyle marker,Manhattan elite private school,Major coastal-elite signal,Specific elite school
Black Professional,Spence,lifestyle marker,Manhattan elite girls school,Major coastal-elite signal,Specific elite school
Black Professional,Trinity School,lifestyle marker,Manhattan elite school,Major coastal-elite signal,Specific elite school
Black Professional,Brearley,lifestyle marker,Manhattan elite girls school,Major coastal-elite signal,Specific elite school
Black Professional,Marin Country Day,lifestyle marker,Bay Area elite Black-affirming private school,Bay Area Black-elite school signal,Specific elite school
Black Professional,Hancock Park (Black sections),lifestyle marker,Historic Black wealthy LA neighborhood section,Black professional wealth signal in LA,Specific neighborhood
Black Professional,Brookland (DC),lifestyle marker,Historic Black DC neighborhood,Specific DC Black community signal,Specific neighborhood
Black Professional,LeDroit Park (DC),lifestyle marker,Historic Black DC neighborhood,Specific DC Black professional community,Specific neighborhood
Black Professional,Cascade (Atlanta),lifestyle marker,Historic Black Atlanta wealthy neighborhood,Atlanta Black professional class signal,Specific neighborhood
Black Professional,Hyde Park (Chicago),lifestyle marker,Historic Black Chicago middle-class neighborhood,Chicago Black professional community signal,Specific neighborhood
Black Professional,We've been going for generations,phrase,Multigenerational Black wealth and Vineyard or specific resort traditions,Major old-money Black professional signal,Standard in-group framing
Black Professional,My grandmother had a cottage,phrase,Specifically at the Vineyard or another historic Black resort,Major old Black wealth signal,Standard in-group framing
Black Professional,My parents are both [profession],phrase about family,Both-parent professional families signal multigenerational middle-class stability,Major class signal,Standard family-status framing
Black Professional,He went to an HBCU,phrase about a man,Specific cultural and educational formation,Major identity-formation signal,Standard description
Black Professional,He went to one of the good Black schools,phrase about a man,Specifically elite HBCU not just any Black school,Major prestige signal,Specific in-group distinction
Black Professional,She's Sidwell,phrase about a woman,She went to or her kids go to Sidwell Friends,Specific elite school identification,Major class signal
Black Professional,He's a Dalton kid,phrase about a man,He went to or his kids go to Dalton,Specific elite school identification,Major class signal
Black Professional,She's one of the only,phrase about a woman,She's one of few Black students or professionals in elite space,Standard Black-elite-experience signal,Common in-group framing
Black Professional,He's the only one in the C-suite,phrase about a man,He's one of few Black executives,Standard Black-elite-experience signal,Common in-group framing
Black Professional,He had the talk with the kids,phrase about a family,He had the specific conversation about police interaction with his children,Major cultural-labor signal,Specific cultural pattern
Black Professional,Twice as good,phrase,Effort required to access opportunity as a Black person,Standard Black professional formation experience,Major in-group concept
Black Professional,You know how it is,phrase,In-group acknowledgment of shared racial experience,Standard in-group framing,Common phrase
Black Professional,I had to code-switch all day,phrase,Performed cultural labor of shifting linguistic registers,Standard Black professional experience,Common in-group framing
Black Professional,She's a real one,phrase about a woman,She's an authentic Black community member,Standard cultural-authenticity framing,Common in-group approval
Black Professional,He's not for us,phrase about a man,He doesn't represent or understand Black community,Standard cultural-belonging judgment,Watch who he applies this to
Black Professional,He doesn't get the culture,phrase about a person,Same as he's not for us — lacks Black-cultural fluency,Standard cultural-belonging framing,Common pattern
Black Professional,Going up top,phrase,Going to Martha's Vineyard specifically,Direct Black Vineyard tradition signal,Specific in-group phrasing
Black Professional,We summered up top,phrase,Family vacationed at the Vineyard,Direct Black professional class marker,Specific in-group framing
Black Professional,She did debutante,phrase about a woman,She participated in a formal debutante ball — usually Links cotillion or similar,Specific Black social-elite ritual signal,Specific class marker
Black Professional,Fair-skinned / lightskinned,vocabulary,Lighter skin color — operates as social shorthand in some Black professional circles,Carries class-and-status implications in some circles which is harmful but operating,Colorism marker
Black Professional,Dark-skinned,vocabulary,Darker skin color — operates as social shorthand,Carries different class-and-status implications which is harmful but operating,Colorism marker
Black Professional,She's pretty for a dark-skinned girl,phrase about a woman,Direct colorist statement — qualifies beauty by skin tone,Direct colorism deployment,Heavily wounding pattern
Black Professional,Good hair,vocabulary,Hair texture perceived as closer to non-Black hair — operates as colorist shorthand,Colorism and texturism marker which is harmful but operating,Specific colorism term
Black Professional,Natural hair,lifestyle marker,Unrelaxed unprocessed hair,Often signals newer pride orientation or specific generation,Specific identity marker
Black Professional,Relaxed hair / straight hair,lifestyle marker,Chemically straightened hair,Often signals older respectability tradition or specific community expectations,Specific identity marker
Black Professional,Locs / sisterlocs,lifestyle marker,Specific natural hair style,Specific identity marker often pride-orientation,Specific hair style
Black Professional,The big chop,phrase,Cutting off relaxed hair to transition to natural,Specific transition narrative,Common transition framing
Wellness-Spiritual,I have some boundaries around that,phrase,He's refusing something and using boundary-language to give the refusal moral cover,Boundary-vocabulary deployment,Boundaries used as accountability shield
Wellness-Spiritual,I need to honor my needs,phrase,He's prioritizing himself — sometimes legitimate sometimes used to refuse all accountability,Self-care framing of refusal,Watch the pattern
Wellness-Spiritual,I had to leave for my own healing,phrase,He's framing a breakup or exit as personal growth rather than what actually happened,Standard exit-rationalization framing,Common self-positioning
Wellness-Spiritual,He wasn't ready for the depth I was bringing,phrase about ex,He's framing an ex as having failed to keep up with him spiritually,Standard ex-dismissal framing,Reveals how he frames past relationships
Wellness-Spiritual,I'm noticing,phrase,Therapy-language framing of immediate experience,Standard therapy-fluent vocabulary,Common signal
Wellness-Spiritual,I'm feeling activated,phrase,He's emotionally triggered and using polyvagal vocabulary to dignify it,Somatic-awareness signal; sometimes used to exit conversations,Common therapy-speak
Black Professional,You know what I mean,phrase,In-group acknowledgment of shared racial experience without naming it,Standard in-group framing,Common in-group shorthand
Red Pill,On my purpose,phrase,He's pursuing his mission rather than getting distracted by women or relationships,Direct red-pill self-positioning,Standard framing
Red Pill,Building,phrase,He's constructing his life or business or empire,Standard aspirational language,Vague but loaded
Red Pill,In my bag,phrase,He's performing well — generational slang for being on his game,Generational marker,Common phrase
Red Pill,Stacking,phrase,Accumulating money women or skills,Standard red-pill aspirational framing,Common phrasing
Red Pill,She has a lot to offer,phrase about a woman,He's evaluating a woman against transactional criteria,Direct transactional framing,Standard framing
Red Pill,She doesn't have much to offer,phrase about a woman,Same evaluation made negatively,Direct transactional dismissal,Standard framing
Red Pill,She's high quality,phrase about a woman,Approval against transactional criteria,Direct quality-grading framing,Standard approval
Red Pill,She's low quality,phrase about a woman,Dismissal against transactional criteria,Direct quality-grading dismissal,Standard dismissal
Red Pill,Mother material,phrase about a woman,She's suitable for bearing his children — early evaluation against motherhood criteria,Direct fertility-evaluation framing,Standard red-pill assessment
Red Pill,She's the right kind of woman,phrase about a woman,Approval against his pre-set criteria for acceptable women,Standard category-based approval,Standard framing
Red Pill,She's masculine,phrase about a woman,Criticism of a woman for being assertive or career-focused,Direct polarity-criticism framing,Standard polarity deployment
Red Pill,She has masculine energy,phrase about a woman,Same as she's masculine — criticism of independence or career focus,Direct polarity-criticism framing,Standard polarity deployment
Red Pill,She doesn't have feminine energy,phrase about a woman,Same criticism via absence framing,Direct polarity-criticism framing,Standard polarity deployment
Red Pill,She brings peace to my life,phrase about a woman,Compliment that values her deference and lack of pushback,Direct compliment for non-confrontation,Common red-pill approval
Red Pill,She lets me lead,phrase about a woman,Direct masculine-leadership-acceptance approval,Standard red-pill approval,Common framing
Red Pill,She supports my mission,phrase about a woman,Approval based on her subordination to his goals,Standard mission-subordination framing,Common framing
Red Pill,She's on the same page,phrase about a woman,Approval for her alignment with his pre-set framework,Standard alignment framing,Common phrasing
Red Pill,We're aligned,phrase,Wellness-adjacent term that often signals masculine-leadership acceptance,Crossover with wellness vocabulary,Standard framing
Red Pill,She's high-mileage,phrase about a woman,Coded reference to her sexual history — body-count concept dressed up,Direct body-count framing with car metaphor,Pejorative coded reference
Red Pill,She's been through a lot of guys,phrase about a woman,Sexual history framed as accumulation of damage,Standard red-pill sexual-history framing,Common framing
Red Pill,She's getting older,phrase about a woman,Age framed as devaluation,Direct age-as-decline framing,Standard red-pill timing framing
Red Pill,She's not getting any younger,phrase about a woman,Pressure framing of woman's age,Direct age-as-pressure framing,Standard timing framing
Red Pill,My mission,phrase,His life purpose framed as military operation,Standard mission rhetoric,Self-positioning
Red Pill,My purpose,phrase,His goal as singular guiding life-principle,Standard purpose rhetoric,Self-positioning
Red Pill,What I'm building,phrase,His current project as identity,Standard founder-meets-red-pill,Self-positioning
Red Pill,I have goals,phrase,Standard self-positioning suggesting he's pre-occupied with goals,Common framing,Often used to deflect relationship demands
Red Pill,I'm focused on myself right now,phrase,He's making himself unavailable for relationship engagement,Standard availability-management framing,Common deflection
Red Pill,I'm working on myself,phrase,Self-improvement framing of relationship-unavailability,Standard framing,Common deflection
Red Pill,I'm investing in myself,phrase,Same as working on myself — self-focus framing,Standard framing,Common deflection
Red Pill,I have a vision,phrase,His goal framed as visionary self-direction,Standard self-importance framing,Common framing
Red Pill,I'm not where I want to be yet,phrase,Pre-emptive justification for unavailability,Standard delay framing,Often deflects commitment expectations
Red Pill,I have plans,phrase,Vague reference to future direction that justifies current behavior,Standard delay framing,Common deflection
Red Pill,I need a partner who supports the vision,phrase,He wants a partner who subordinates her life to his goals,Standard vision-subordination demand,Common framing
Red Pill,No-fap / no fap,lifestyle marker,Refraining from masturbation as discipline and energy preservation,Standard manosphere practice,Specific discipline practice
Red Pill,No porn,lifestyle marker,Refraining from pornography as discipline,Standard manosphere practice,Specific discipline practice
Red Pill,Mouth taping at night,lifestyle marker,Taping mouth shut during sleep for nasal breathing,Optimization-bro signal,Specific Huberman-popularized practice
Red Pill,Mewing / jawline work,lifestyle marker,Tongue posture exercises for jawline appearance,Looksmax-adjacent practice,Specific physical optimization
Red Pill,Chewing devices,lifestyle marker,Specific gum or device for jaw exercise,Looksmax-adjacent practice,Specific physical optimization
Red Pill,Sun gazing,lifestyle marker,Looking at sun at sunrise as optimization practice,Optimization-bro signal,Specific Huberman-popularized practice
Red Pill,Grounding / earthing,lifestyle marker,Walking barefoot on grass for body electrical balance,Wellness-manosphere crossover,Specific practice
Red Pill,Methylene blue,lifestyle marker,Specific compound used as supplement,Optimization-bro supplement signal,Specific Bryan-Johnson-adjacent practice
Red Pill,Tongkat ali,lifestyle marker,Herbal supplement for testosterone,Specific T-optimization supplement,Standard manosphere supplement
Red Pill,Fadogia agrestis,lifestyle marker,Specific T-optimization supplement,Specific manosphere supplement,Standard manosphere supplement
Red Pill,Creatine,lifestyle marker,Foundational performance supplement,Entry-level optimization signal,Common supplement
Red Pill,Bryan Johnson stack,lifestyle marker,Following Bryan Johnson's specific supplement protocol,Specific longevity-optimization signal,Specific protocol adoption
Red Pill,5 AM club / 4 AM club,lifestyle marker,Waking extremely early as discipline marker,Standard discipline-as-identity practice,Specific routine commitment
Red Pill,Morning pages,lifestyle marker,Specific journaling practice from Julia Cameron,Standard self-improvement practice,Specific practice
Red Pill,5x5 / StrongLifts,lifestyle marker,Specific powerlifting program,Standard manosphere lifting program,Specific lifting commitment
Red Pill,Starting Strength,lifestyle marker,Specific Mark Rippetoe powerlifting program,Standard manosphere lifting program,Specific lifting commitment
Red Pill,Powerlifting,lifestyle marker,Specific strength sport focused on max lifts,Standard manosphere physical practice,Specific commitment
Red Pill,Boxing training,lifestyle marker,Boxing as masculine practice,Standard manosphere physical practice,Specific commitment
Red Pill,Muay Thai,lifestyle marker,Thai kickboxing as manosphere martial art,Standard manosphere physical practice,Specific commitment
Red Pill,Frankly...,vocabulary,Joe Rogan and Andrew Tate verbal pattern,Imitative manosphere speech pattern,Specific verbal tic
Red Pill,Look...,vocabulary,Conversational opener common in manosphere speech,Manosphere conversational marker,Specific verbal pattern
Red Pill,Bro (used to non-friends),vocabulary,Generic male-address term — frequency and context matter,Manosphere-adjacent verbal pattern,Generational and cultural marker
Red Pill,I'm just really focused on my goals right now,phrase,Coded availability-management — he's not committing to a relationship,Standard delay framing without explicit ideology,Common framing
Red Pill,I just want a partner who supports my vision,phrase,Coded demand for subordination without explicit ideology,Standard vision-subordination framing,Common framing
Red Pill,I'm looking for someone family-oriented,phrase,Coded for traditional gender expectations,Crossover with tradwife framing,Common framing
Red Pill,I don't want a partner who's super career-driven,phrase,Coded for traditional gender role expectations,Standard career-as-problem framing,Common framing
Red Pill,I value traditional things,phrase,Coded for traditional gender role expectations,Crossover with tradwife framing,Common framing
Red Pill,I'm pretty intentional with my time,phrase,Coded availability-management — he won't be available much,Standard availability-management framing,Common framing
Red Pill,Eastern Europe,lifestyle marker,Travel to Eastern Europe pre-war Ukraine Poland Czech Republic — sometimes signals sex-tourism adjacency,Manosphere travel signal,Specific destination pattern
Red Pill,Tulum,lifestyle marker,Wellness-meets-manosphere destination in Mexico,Crossover destination signal,Specific destination
Red Pill,Bali (digital nomad version),lifestyle marker,Digital-nomad version of manosphere expatriate lifestyle,Crossover destination signal,Specific destination
Red Pill,Thailand,lifestyle marker,Travel to Thailand — sometimes sex-tourism-adjacent sometimes legitimate,Suggestive destination signal,Specific destination
Red Pill,Miami,lifestyle marker,US manosphere events and culture hub,Manosphere geography signal,Specific destination
Red Pill,Austin,lifestyle marker,Joe Rogan + tech bros + manosphere influencers hub,Manosphere geography signal,Specific destination
Red Pill,Cigar lounge / humidor,lifestyle marker,Cigars as masculine status practice,Standard masculine ritual signal,Specific practice
Red Pill,Most people,phrase,Dismissive reference to the masses,Standard mass-dismissal framing,Common phrasing
Red Pill,You have to think for yourself,phrase,Awakening framing crossover with conspiracy,Crossover framing,Common framing
Red Pill,Question everything,phrase,Awakening framing crossover with conspiracy,Crossover framing,Common framing
Red Pill,Do your own research,phrase,Direct conspiracy crossover framing,Crossover framing,Heavy signal
Conspiracy,Snakes,vocabulary,The deceivers or elites — sometimes with biblical Eden framing,Direct conspiracy imagery,Animal-as-evil framing
Conspiracy,Serpent / serpents,vocabulary,Same as snakes — deceiver imagery often biblical,Direct conspiracy imagery,Religious-conspiracy crossover
Conspiracy,They're snakes,phrase,Direct characterization of opponents as deceivers,Direct animal-as-evil framing,Common phrasing
Conspiracy,Owl symbolism,vocabulary,Owl as referenced elite/Illuminati symbol — Bohemian Grove imagery,Direct Illuminati-conspiracy framing,Specific reference
Conspiracy,The swamp / swamp creatures,vocabulary,Government corruption framed as creature-imagery,Trump-era reference,Specific political-conspiracy framing
Conspiracy,The dragon,vocabulary,Biblical Revelation framing of world system as demonic,Christian-conspiracy framing,Specific biblical reference
Conspiracy,Spiders / web,vocabulary,Interconnection of hidden forces,Standard conspiracy imagery,Animal-as-network framing
Conspiracy,Octopus / tentacles,vocabulary,Elite-network imagery — specifically the long-reach metaphor,Standard conspiracy imagery,Common framing
Conspiracy,Roosters crowing / wake up,vocabulary,Awakeners summoning the sleeping,Standard awakening framing,Animal-as-call framing
Conspiracy,Demons / the demonic,vocabulary,In Christian-conspiracy elites are literally demonic,Heavy Christian-conspiracy framing,Specific framing
Conspiracy,They've sold their souls,phrase,Elites as spiritually corrupted,Heavy Christian-conspiracy framing,Common phrasing
Conspiracy,They're not even human,phrase,Elites as non-human — sometimes literal demonic sometimes metaphorical,Heavy dehumanization framing,Specific framing
Conspiracy,Ask questions / JAQ-ing off,phrase,Just-asking-questions deflection — pre-emptive defense against being labeled conspiracy,Specific rhetorical move,Common deflection
Conspiracy,What is the truth?,phrase,Foundational conspiracy framing of truth as hidden,Standard framing,Common phrasing
Conspiracy,The truth is out there,phrase,X-Files-derived but used non-ironically,Standard framing,Common phrasing
Conspiracy,The pharmaceutical industry,vocabulary,Pharma framed as malign with built-in skepticism,Standard health-conspiracy framing,Common phrasing
Conspiracy,The CDC / WHO / FDA,vocabulary,Public health agencies referenced with built-in skepticism,Direct authority-rejection framing,Common phrasing
Conspiracy,Their system,phrase,System belongs to them rather than us — us/them framing,Standard us/them framing,Common phrasing
Conspiracy,Behind the curtain,phrase,Hidden power as Wizard-of-Oz mechanism,Standard hidden-power framing,Common phrasing
Conspiracy,That's not her that's the programming,phrase,Family member's worldview dismissed as mind-control rather than choice,Heavy mind-control framing,Family-isolation pattern
Conspiracy,He's drinking the Kool-Aid,phrase,Person framed as having accepted mainstream programming,Standard cult-imagery framing,Common phrasing
Conspiracy,He's been programmed,phrase,Mainstream views attributed to mind control,Standard mind-control framing,Common phrasing
Conspiracy,They've been indoctrinated,phrase,Mainstream views attributed to systematic mental capture,Heavy framing,Common phrasing
Conspiracy,Common law,phrase,Sovereign-citizen distinction between common law and statutory law,Direct sovereign-citizen framing,Specific sub-camp reference
Conspiracy,Natural law,phrase,Often deployed in sovereign-citizen or Christian-conspiracy contexts,Specific sub-camp framing,Specific reference
Conspiracy,My sovereignty,phrase,Sovereign-citizen self-identification language,Direct sovereign-citizen signal,Specific sub-camp
Conspiracy,Bodily autonomy,phrase,Framing vaccine-refusal as autonomy issue,Direct health-freedom framing,Co-opted feminist vocabulary
Conspiracy,They're not even calling them vaccines anymore,phrase,Specific anti-vaccine talking point about FDA terminology,Specific anti-vaccine talking point,Common phrasing
Conspiracy,The side effects they're not telling you about,phrase,Pre-loaded claim about suppressed vaccine harm,Standard anti-vaccine framing,Common phrasing
Conspiracy,Long-term effects,phrase,Unknown long-term outcomes presented as proven future harm,Standard anti-vaccine framing,Common phrasing
Conspiracy,What's in it?,phrase,Direct ingredient-suspicion framing applied to vaccines food products,Standard suspicion framing,Common phrasing
Conspiracy,Read the inserts,phrase,Vaccine insert text presented as proof of suppressed harm,Standard anti-vaccine framing,Common phrasing
Conspiracy,Look up the ingredients,phrase,Same as what's in it — direct ingredient suspicion,Standard suspicion framing,Common phrasing
Conspiracy,NAC / N-acetyl cysteine,lifestyle marker,Supplement adopted in COVID-conspiracy community,Direct anti-vaccine sub-camp signal,Specific marker
Conspiracy,Quercetin,lifestyle marker,Supplement adopted in COVID-conspiracy community,Direct anti-vaccine sub-camp signal,Specific marker
Conspiracy,High-dose vitamin C / D,lifestyle marker,High-dose vitamin protocols,Direct health-conspiracy signal,Specific marker
Conspiracy,They want us sick,phrase,Direct depopulation-and-control framing,Heavy direct framing,Common phrasing
Conspiracy,They make money when we're sick,phrase,Pharma profit framed as malign motive,Standard framing,Common phrasing
Conspiracy,The principalities,phrase,Ephesians 6:12 reference to demonic powers behind political opponents,Direct Christian-conspiracy framing,Specific biblical reference
Conspiracy,Demonic activity,phrase,Specific events attributed to demonic forces,Heavy Christian-conspiracy framing,Common phrasing
Conspiracy,Watch what they reveal,phrase,Occult-conspiracy belief that elites must announce crimes via media,Specific occult-conspiracy framing,Common phrasing
Conspiracy,They have to tell us,phrase,Same occult-conspiracy belief about pre-disclosure,Specific occult-conspiracy framing,Common phrasing
Conspiracy,The great deception,phrase,Christian-conspiracy framing of end-times deception,Direct Christian-conspiracy framing,Specific framing
Conspiracy,Watch the symbolism,phrase,Media imagery framed as revealing hidden meanings,Standard occult-conspiracy framing,Common phrasing
Conspiracy,It's all symbolism,phrase,Same framing — everything in media as occult signaling,Standard occult-conspiracy framing,Common phrasing
Conspiracy,That's a ritual,phrase,Public events framed as occult rituals,Standard occult-conspiracy framing,Common phrasing
Conspiracy,Toxins,phrase,Broad category for environmental contaminants framed as deliberate,Standard crunchy-conspiracy framing,Common phrasing
Conspiracy,Endocrine disruptors,phrase,Specific category of contaminants — sometimes legitimate sometimes deployed broadly,Standard crunchy-conspiracy framing,Common phrasing
Conspiracy,Heavy metals,phrase,Specific category of contaminants framed broadly,Standard crunchy-conspiracy framing,Common phrasing
Conspiracy,Cleansing,phrase,Same as detoxing — purification of body of supposed contaminants,Standard wellness-conspiracy framing,Common phrasing
Conspiracy,My body is healing,phrase,Sometimes legitimate sometimes signaling avoidance of mainstream care,Mixed signal — depends on context,Common framing
Conspiracy,I treat with food,phrase,Food-as-medicine framing replacing pharmaceuticals,Standard alternative-medicine framing,Common phrasing
Conspiracy,Nature has the cure,phrase,Natural remedies as superior to pharmaceuticals,Standard alternative-medicine framing,Common phrasing
Conspiracy,God provided everything we need,phrase,Christian-crunchy framing of natural remedies as divinely provided,Christian-conspiracy crossover,Common phrasing
Conspiracy,Pharmaceuticals are profit,phrase,Direct anti-pharma framing,Standard health-conspiracy framing,Common phrasing
Conspiracy,Bone broth,lifestyle marker,Bone broth as identity-marker traditional food,Crunchy-conspiracy signal,Specific marker
Conspiracy,Fermented foods,lifestyle marker,Sauerkraut kefir kombucha as identity markers,Crunchy-conspiracy signal,Specific marker
Conspiracy,Sourdough culture,lifestyle marker,Making sourdough framed as traditional skill,Crunchy-conspiracy and tradwife crossover,Specific marker
Conspiracy,Cow share / quarter cow,lifestyle marker,Buying beef directly from farmers,Crunchy-conspiracy signal,Specific arrangement
Conspiracy,Organ meats / liver,lifestyle marker,Eating organ meats as ancestral-eating signal,Crunchy-manosphere crossover,Specific dietary practice
Conspiracy,Avoiding GMOs,lifestyle marker,Non-GMO as identity marker,Standard crunchy-conspiracy signal,Specific commitment
Conspiracy,Organic / regenerative agriculture,lifestyle marker,Specific farming practices framed as worldview,Standard crunchy-conspiracy signal,Specific commitment
Conspiracy,Avoiding processed food,lifestyle marker,Intense moral weight on avoiding processed food,Standard crunchy-conspiracy signal,Specific commitment
Conspiracy,Avoiding plastics / glass containers,lifestyle marker,Heightened concern about plastic chemical leaching,Crunchy-conspiracy signal,Specific practice
Conspiracy,I don't have a TV,phrase,Refusing mainstream broadcast media,Standard alternative-information framing,Common phrasing
Conspiracy,Substack subscriptions,lifestyle marker,Specific alternative-media platform engagement,Standard alternative-information signal,Specific platform
Conspiracy,Telegram channels,lifestyle marker,Information ecosystem outside mainstream,Standard alternative-information signal,Specific platform
Conspiracy,Well water,lifestyle marker,Independent water source as preparedness,Standard prepper signal,Specific marker
